# Echo 22 focal plane parameters from Figure 7 of DESI-0329v3.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below						
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
212	0.861607463	3.819890657	3.724305572	14.44780698	14.09688722	70.04494487	68.34363784
213	0.865572618	3.821219344	3.724729591	14.45272744	14.09848265	70.06879992	68.35137274
214	0.869536429	3.822554149	3.725155479	14.45767855	14.10008161	70.09280358	68.35912468
215	0.87349889	3.823895069	3.725583237	14.46265581	14.10168505	70.11693401	68.36689839
216	0.877459997	3.825242102	3.726012863	14.46765471	14.10329396	70.14116937	68.37469858
217	0.881419745	3.826595247	3.726444354	14.47267076	14.1049093	70.16548785	68.38252998
218	0.885378129	3.827954501	3.72687771	14.47769944	14.10653205	70.1898676	68.3903973
219	0.889335145	3.829319862	3.727312929	14.48273626	14.10816318	70.2142868	68.39830526
220	0.893290788	3.83069133	3.727750009	14.48777702	14.10980363	70.2387251	68.4062584
221	0.897245053	3.832068901	3.728188948	14.49282248	14.11145375	70.26318615	68.41425838
222	0.901197935	3.833452574	3.728629746	14.49787741	14.11311338	70.28769318	68.42230451
223	0.905149428	3.834842347	3.729072401	14.50294673	14.11478238	70.31226993	68.43039606
224	0.909099527	3.836238218	3.72951691	14.50803534	14.1164606	70.33694019	68.43853226
225	0.913048227	3.837640185	3.729963272	14.51314814	14.11814787	70.36172772	68.44671238
226	0.916995522	3.839048247	3.730411485	14.51829002	14.11984404	70.3866563	68.45493565
227	0.920941407	3.840462402	3.730861549	14.52346591	14.12154896	70.41174968	68.46320134
228	0.924885877	3.841882648	3.73131346	14.52868067	14.12326247	70.43703156	68.47150868
229	0.928828926	3.843308983	3.731767219	14.5339364	14.12498425	70.46251207	68.4798561
230	0.932770551	3.844741405	3.732222822	14.53922938	14.12671362	70.48817314	68.48824033
231	0.936710746	3.846179914	3.732680268	14.54455514	14.12844987	70.51399317	68.49665788
232	0.940649506	3.847624507	3.733139557	14.54990923	14.13019226	70.53995055	68.50510525
233	0.944586827	3.849075181	3.733600685	14.5552872	14.13194009	70.56602368	68.51357897
234	0.948522704	3.850531936	3.734063651	14.56068459	14.13369263	70.59219097	68.52207553
235	0.952457133	3.85199477	3.734528454	14.56609695	14.13544917	70.61843081	68.53059146
236	0.956390109	3.853463682	3.734995092	14.57151981	14.13720898	70.6447216	68.53912325
