DEVICE_ID,DEVICE_TYPE,PETAL_ID,BUS_ID,CAN_ID,SI_ID,FULL_SI_ID,PETAL_LOC,DEVICE_LOC
7900,POS,1,16,7900,c0:86:0a:01:09:61:10:13,09:61:10:43:30:ff:d4:05:4b:58:32:31,,490
8197,POS,1,16,8197,c1:76:22:02:11:85:01:13,11:85:01:43:31:ff:d7:05:4b:57:38:32,,504
8203,POS,1,16,8203,c1:76:22:02:37:69:01:13,37:69:01:43:31:ff:d6:05:4b:57:38:32,,468
8205,POS,1,16,8205,c0:86:0a:01:27:90:09:13,27:90:09:43:30:ff:d8:05:4b:58:32:31,,469
8207,POS,1,16,8207,c1:76:22:02:20:69:01:13,20:69:01:43:31:ff:da:05:4b:57:38:32,,522
8232,POS,1,16,8232,c1:76:22:02:09:68:01:13,09:68:01:43:31:ff:da:05:4b:57:38:32,,449
8265,POS,1,16,8265,c1:76:22:02:23:57:01:13,23:57:01:43:31:ff:d6:05:4b:57:38:32,,521
8266,POS,1,16,8266,c1:76:22:02:19:90:01:13,19:90:01:43:31:ff:d9:05:4b:57:38:32,,448
8267,POS,1,16,8267,c0:86:0a:01:21:59:10:13,21:59:10:43:30:ff:d8:05:4b:58:32:31,,507
8272,POS,1,16,8272,c0:86:0a:01:18:56:10:13,18:56:10:43:30:ff:d6:05:4b:58:32:31,,503
8273,POS,1,16,8273,c1:76:22:02:25:63:02:13,25:63:02:43:31:ff:d6:05:4b:57:38:32,,487
8274,POS,1,16,8274,c1:76:22:02:28:53:01:13,28:53:01:43:31:ff:d5:05:4b:57:38:32,,488
8275,POS,1,16,8275,c1:76:22:02:43:77:01:13,43:77:01:43:31:ff:da:05:4b:57:38:32,,518
8276,POS,1,16,8276,c1:76:22:02:29:66:01:13,29:66:01:43:31:ff:d7:05:4b:57:38:32,,489
8277,POS,1,16,8277,c1:76:22:02:07:69:02:13,07:69:02:43:31:ff:d6:05:4b:57:38:32,,520
8278,POS,1,16,8278,c0:86:0a:01:16:82:09:13,16:82:09:43:30:ff:d5:05:4b:58:32:31,,470
8289,POS,1,16,8289,c1:76:22:02:21:69:01:13,21:69:01:43:31:ff:d9:05:4b:57:38:32,,519
8292,POS,1,16,8292,c1:76:22:02:15:67:02:13,15:67:02:43:31:ff:d9:05:4b:57:38:32,,505
8317,POS,1,16,8317,c1:76:22:02:35:80:01:13,35:80:01:43:31:ff:da:05:4b:57:38:32,,506
P137,FIF,1,16,10137,c3:74:02:08:20:56:07:13,20:56:07:43:33:ff:d7:05:43:57:30:38,,517
741,POS,1,17,741,47:b4:19:02:22:87:03:13,22:87:03:43:37:ff:db:05:41:4b:36:32,,464
1472,POS,1,17,1472,c3:74:02:08:17:82:07:13,17:82:07:43:33:ff:d8:05:43:57:30:38,,332
1529,POS,1,17,1529,c3:74:02:08:28:84:07:13,28:84:07:43:33:ff:d7:05:43:57:30:38,,314
1596,POS,1,17,1596,47:b4:19:02:04:69:02:13,04:69:02:43:37:ff:df:05:41:4b:36:32,,335
1639,POS,1,17,1639,47:b4:19:02:41:68:03:13,41:68:03:43:37:ff:d7:05:41:4b:36:32,,461
1652,POS,1,17,1652,c3:74:02:08:06:65:06:13,06:65:06:43:33:ff:d9:05:43:57:30:38,,462
1654,POS,1,17,1654,c3:74:02:08:40:65:06:13,40:65:06:43:33:ff:d7:05:43:57:30:38,,377
1836,POS,1,17,1836,47:b4:19:02:18:71:03:13,18:71:03:43:37:ff:d6:05:41:4b:36:32,,399
1890,POS,1,17,1890,c3:74:02:08:25:78:04:13,25:78:04:43:33:ff:d6:05:43:57:30:38,,421
1892,POS,1,17,1892,47:b4:19:02:06:60:01:13,06:60:01:43:37:ff:d9:05:41:4b:36:32,,356
2004,POS,1,17,2004,c3:74:02:08:17:62:06:13,17:62:06:43:33:ff:d8:05:43:57:30:38,,443
2009,POS,1,17,2009,c3:74:02:08:24:82:07:13,24:82:07:43:33:ff:da:05:43:57:30:38,,440
2052,POS,1,17,2052,c3:74:02:08:20:88:07:13,20:88:07:43:33:ff:dc:05:43:57:30:38,,442
2074,POS,1,17,2074,c3:74:02:08:35:56:06:13,35:56:06:43:33:ff:d9:05:43:57:30:38,,420
2152,POS,1,17,2152,c3:74:02:08:34:79:07:13,34:79:07:43:33:ff:db:05:43:57:30:38,,398
2155,POS,1,17,2155,c3:74:02:08:11:62:06:13,11:62:06:43:33:ff:d5:05:43:57:30:38,,441
2214,POS,1,17,2214,c3:74:02:08:24:84:07:13,24:84:07:43:33:ff:d4:05:43:57:30:38,,463
2298,POS,1,17,2298,c3:74:02:08:08:60:06:13,08:60:06:43:33:ff:da:05:43:57:30:38,,484
2362,POS,1,17,2362,c3:74:02:08:22:83:07:13,22:83:07:43:33:ff:d8:05:43:57:30:38,,355
2391,POS,1,17,2391,c3:74:02:08:23:61:06:13,23:61:06:43:33:ff:d6:05:43:57:30:38,,419
5693,POS,1,17,5693,c3:74:02:08:34:76:06:13,34:76:06:43:33:ff:dd:05:43:57:30:38,,373
6429,POS,1,17,6429,c1:76:22:02:11:68:01:13,11:68:01:43:31:ff:d5:05:4b:57:38:32,,394
6431,POS,1,17,6431,c1:76:22:02:12:71:01:13,12:71:01:43:31:ff:d7:05:4b:57:38:32,,354
6433,POS,1,17,6433,c1:76:22:02:26:67:02:13,26:67:02:43:31:ff:d9:05:4b:57:38:32,,334
6434,POS,1,17,6434,c1:76:22:02:06:71:01:13,06:71:01:43:31:ff:da:05:4b:57:38:32,,313
6435,POS,1,17,6435,c1:76:22:02:39:68:01:13,39:68:01:43:31:ff:d9:05:4b:57:38:32,,312
6436,POS,1,17,6436,c1:76:22:02:15:71:01:13,15:71:01:43:31:ff:d9:05:4b:57:38:32,,396
6440,POS,1,17,6440,c1:76:22:02:33:61:01:13,33:61:01:43:31:ff:da:05:4b:57:38:32,,376
6446,POS,1,17,6446,c1:76:22:02:42:73:01:13,42:73:01:43:31:ff:df:05:4b:57:38:32,,416
6447,POS,1,17,6447,c1:76:22:02:20:61:01:13,20:61:01:43:31:ff:d7:05:4b:57:38:32,,418
6561,POS,1,17,6561,c1:76:22:02:12:69:01:13,12:69:01:43:31:ff:d9:05:4b:57:38:32,,353
6562,POS,1,17,6562,c1:76:22:02:34:70:01:13,34:70:01:43:31:ff:d8:05:4b:57:38:32,,374
6573,POS,1,17,6573,c1:76:22:02:37:77:01:13,37:77:01:43:31:ff:d6:05:4b:57:38:32,,333
6587,POS,1,17,6587,c1:76:22:02:26:67:01:13,26:67:01:43:31:ff:d9:05:4b:57:38:32,,375
6588,POS,1,17,6588,c1:76:22:02:30:71:01:13,30:71:01:43:31:ff:d9:05:4b:57:38:32,,417
6589,POS,1,17,6589,c1:76:22:02:09:67:01:13,09:67:01:43:31:ff:d7:05:4b:57:38:32,,395
6592,POS,1,17,6592,c1:76:22:02:30:66:01:13,30:66:01:43:31:ff:da:05:4b:57:38:32,,397
6751,POS,1,17,6751,c1:76:22:02:04:73:01:13,04:73:01:43:31:ff:dd:05:4b:57:38:32,,378
6795,POS,1,17,6795,c1:76:22:02:07:60:01:13,07:60:01:43:31:ff:d9:05:4b:57:38:32,,465
6796,POS,1,17,6796,c1:76:22:02:09:66:02:13,09:66:02:43:31:ff:d7:05:4b:57:38:32,,445
6798,POS,1,17,6798,c1:76:22:02:13:58:02:13,13:58:02:43:31:ff:d9:05:4b:57:38:32,,400
6807,POS,1,17,6807,c1:76:22:02:30:84:01:13,30:84:01:43:31:ff:d6:05:4b:57:38:32,,444
6916,POS,1,17,6916,c1:76:22:02:20:66:02:13,20:66:02:43:31:ff:d8:05:4b:57:38:32,,422
6917,POS,1,17,6917,c1:76:22:02:30:87:01:13,30:87:01:43:31:ff:dd:05:4b:57:38:32,,483
6920,POS,1,17,6920,c0:86:0a:01:11:84:09:13,11:84:09:43:30:ff:d9:05:4b:58:32:31,,379
6923,POS,1,17,6923,c1:76:22:02:31:87:01:13,31:87:01:43:31:ff:d8:05:4b:57:38:32,,501
6927,POS,1,17,6927,c1:76:22:02:36:86:01:13,36:86:01:43:31:ff:da:05:4b:57:38:32,,446
6930,POS,1,17,6930,c0:86:0a:01:36:58:10:13,36:58:10:43:30:ff:d3:05:4b:58:32:31,,424
6957,POS,1,17,6957,c1:76:22:02:09:61:02:13,09:61:02:43:31:ff:d6:05:4b:57:38:32,,423
6958,POS,1,17,6958,c1:76:22:02:25:88:01:13,25:88:01:43:31:ff:d8:05:4b:57:38:32,,401
7002,POS,1,17,7002,c1:76:22:02:27:59:02:13,27:59:02:43:31:ff:d9:05:4b:57:38:32,,466
7631,POS,1,17,7631,c1:76:22:02:24:72:02:13,24:72:02:43:31:ff:d7:05:4b:57:38:32,,352
P127,FIF,1,17,10127,47:b4:19:02:19:82:03:13,19:82:03:43:37:ff:da:05:41:4b:36:32,,439
P136,FIF,1,17,10136,c1:74:0e:09:21:78:07:13,21:78:07:43:31:ff:dd:05:43:57:33:39,,482
628,POS,1,22,628,47:b4:19:02:42:75:03:13,42:75:03:43:37:ff:d7:05:41:4b:36:32,,368
1409,POS,1,22,1409,47:b4:19:02:21:68:03:13,21:68:03:43:37:ff:d6:05:41:4b:36:32,,289
1436,POS,1,22,1436,47:b4:19:02:27:86:03:13,27:86:03:43:37:ff:d4:05:41:4b:36:32,,347
1437,POS,1,22,1437,47:b4:19:02:20:84:03:13,20:84:03:43:37:ff:d9:05:41:4b:36:32,,307
1475,POS,1,22,1475,c3:74:02:08:28:65:06:13,28:65:06:43:33:ff:d7:05:43:57:30:38,,388
1606,POS,1,22,1606,47:b4:19:02:25:78:03:13,25:78:03:43:37:ff:dc:05:41:4b:36:32,,329
1657,POS,1,22,1657,c3:74:02:08:16:78:07:13,16:78:07:43:33:ff:d7:05:43:57:30:38,,367
1668,POS,1,22,1668,47:b4:19:02:37:72:03:13,37:72:03:43:37:ff:dc:05:41:4b:36:32,,287
1908,POS,1,22,1908,47:b4:19:02:35:70:02:13,35:70:02:43:37:ff:d9:05:41:4b:36:32,,391
1936,POS,1,22,1936,47:b4:19:02:39:78:03:13,39:78:03:43:37:ff:d8:05:41:4b:36:32,,327
1999,POS,1,22,1999,c3:74:02:08:35:65:06:13,35:65:06:43:33:ff:d7:05:43:57:30:38,,389
2002,POS,1,22,2002,c3:74:02:08:28:82:07:13,28:82:07:43:33:ff:da:05:43:57:30:38,,346
2059,POS,1,22,2059,c3:74:02:08:30:87:07:13,30:87:07:43:33:ff:d8:05:43:57:30:38,,330
2071,POS,1,22,2071,c3:74:02:08:31:75:07:13,31:75:07:43:33:ff:d7:05:43:57:30:38,,306
2116,POS,1,22,2116,c3:74:02:08:10:73:07:13,10:73:07:43:33:ff:da:05:43:57:30:38,,412
2145,POS,1,22,2145,c3:74:02:08:17:90:07:13,17:90:07:43:33:ff:d8:05:43:57:30:38,,370
2175,POS,1,22,2175,c3:74:02:08:23:78:07:13,23:78:07:43:33:ff:d9:05:43:57:30:38,,269
2187,POS,1,22,2187,c3:74:02:08:26:52:06:13,26:52:06:43:33:ff:d5:05:43:57:30:38,,326
2198,POS,1,22,2198,c3:74:02:08:25:90:07:13,25:90:07:43:33:ff:d9:05:43:57:30:38,,305
2220,POS,1,22,2220,c3:74:02:08:30:56:06:13,30:56:06:43:33:ff:d8:05:43:57:30:38,,345
2221,POS,1,22,2221,c3:74:02:08:24:78:07:13,24:78:07:43:33:ff:d8:05:43:57:30:38,,268
2224,POS,1,22,2224,c3:74:02:08:23:62:06:13,23:62:06:43:33:ff:d7:05:43:57:30:38,,308
2388,POS,1,22,2388,c3:74:02:08:17:53:06:13,17:53:06:43:33:ff:de:05:43:57:30:38,,350
5025,POS,1,22,5025,c3:74:02:08:40:79:07:13,40:79:07:43:33:ff:db:05:43:57:30:38,,288
6225,POS,1,22,6225,c0:86:0a:01:23:51:10:13,23:51:10:43:30:ff:db:05:4b:58:32:31,,344
6229,POS,1,22,6229,c0:86:0a:01:25:58:10:13,25:58:10:43:30:ff:d9:05:4b:58:32:31,,324
6554,POS,1,22,6554,c1:76:22:02:16:65:01:13,16:65:01:43:31:ff:db:05:4b:57:38:32,,304
