PETAL_ID,PETAL_LOC,DEVICE_LOC,DEVICE_TYPE,PINHOLE_ID,X_PTL,Y_PTL,Z_PTL,X_MNT,Y_MNT,Z_MNT,PTL_SOURCE,PROJ_DISTANCE,PROVENANCE,NOTES,X_FP,Y_FP,Z_FP,LOCATION,DEVICE_ID,BUS_ID
1,0,517,FIF,3,393.4872008,112.425018,-18.9477689,385.30621099999996,110.89441799999999,-104.943874,Measured,86.5,"DESI-5711, DESI-3543",,393.4924128592245,112.43505361244976,-18.9477689,517,P137,16
1,0,517,FIF,4,393.7935536,113.3716978,-18.9983921,385.30621099999996,110.89441799999999,-104.943874,Measured,86.5,"DESI-5711, DESI-3543",,393.7999700740743,113.38397974521345,-18.9983921,517,P137,16
1,0,534,FIF,1,366.7850573,176.2966924,-18.7611208,359.814994,172.812479,-104.76544,Measured,86.5,"DESI-5711, DESI-3543",,366.8182000077004,176.3102889253302,-18.7611208,534,P143,14
1,0,534,FIF,2,368.3128383,175.8397442,-18.8874295,359.814994,172.812479,-104.76544,Measured,86.5,"DESI-5711, DESI-3543",,368.34695136215214,175.8538733152766,-18.8874295,534,P143,14
1,0,534,FIF,3,367.1220229,177.4440428,-18.8516035,359.814994,172.812479,-104.76544,Measured,86.5,"DESI-5711, DESI-3543",,367.15618682959064,177.45938221549739,-18.8516035,534,P143,14
1,0,534,FIF,4,367.7163624,176.6423151,-18.8658202,359.814994,172.812479,-104.76544,Measured,86.5,"DESI-5711, DESI-3543",,367.7519651626428,176.6564249633854,-18.8658202,534,P143,14
1,0,541,GIF,1,296.4138568,207.3455836,-12.0756163,,,,Measured,,DESI-5711,,296.3863078795954,207.34764848139216,-12.0756163,541,P149,22
1,0,541,GIF,2,295.6344841,208.7434877,-12.1032946,,,,Measured,,DESI-5711,,295.6068297769417,208.74538342732177,-12.1032946,541,P149,22
1,0,541,GIF,3,295.3692385,206.7644271,-11.9541156,,,,Measured,,DESI-5711,,295.34134678409714,206.76672798844305,-11.9541156,541,P149,22
1,0,541,GIF,4,295.5015234,207.7530362,-12.019552800000001,,,,Measured,,DESI-5711,,295.4749008696993,207.75596345784402,-12.019552800000001,541,P149,22
1,0,542,GIF,1,356.1286558,202.3412238,-19.1503562,,,,Measured,,DESI-5711,,356.1759277011437,202.35813829127815,-19.1503562,542,P152,22
1,0,542,GIF,2,357.6494094,201.853292,-19.2460779,,,,Measured,,DESI-5711,,357.6966273312979,201.87028649834554,-19.2460779,542,P152,22
1,0,542,GIF,3,356.4900505,203.4826696,-19.244808,,,,Measured,,DESI-5711,,356.53852764848637,203.4997451785528,-19.244808,542,P152,22
1,0,542,GIF,4,357.0698213,202.6677082,-19.2302682,,,,Measured,,DESI-5711,,357.1176517714224,202.68615079110447,-19.2302682,542,P152,22
