PETAL_ID,PETAL_LOC,DEVICE_LOC,DEVICE_TYPE,PINHOLE_ID,X_PTL,Y_PTL,Z_PTL,X_MNT,Y_MNT,Z_MNT,PTL_SOURCE,PROJ_DISTANCE,PROVENANCE,NOTES,X_FP,Y_FP,Z_FP,LOCATION
1,0,482,FIF,4,403.2517156,58.8815551,-18.7942068,395.41075,58.013261,-104.807439,Measured,86.5,"DESI-4889, DESI-3543",,168.33071162694588,371.1384582450377,-18.7942068,2482
1,0,496,FIF,1,330.7627088,185.6830956,-16.0129997,324.223932,181.960925,-102.21339300000001,Measured,86.5,"DESI-4889, DESI-3543",,22.46491694312124,378.65222702507776,-16.0129997,2496
1,0,496,FIF,2,331.1884636,186.5857212,-16.151599,324.223932,181.960925,-102.21339300000001,Measured,86.5,"DESI-4889, DESI-3543",,21.93541999075086,379.498178028936,-16.151599,2496
1,0,496,FIF,3,330.0157645,186.3500768,-16.0415588,324.223932,181.960925,-102.21339300000001,Measured,86.5,"DESI-4889, DESI-3543",,21.500095888263814,378.3840665496908,-16.0415588,2496
1,0,496,FIF,4,330.3384267,184.7836804,-15.9915144,324.223932,181.960925,-102.21339300000001,Measured,86.5,"DESI-4889, DESI-3543",,22.992508140247878,377.80924984206155,-15.9915144,2496
1,0,517,FIF,1,393.8517871,113.3971509,-19.0468852,385.29312999999996,110.890628,-104.92557099999999,Measured,86.5,"DESI-4889, DESI-3543",,117.37861649818502,392.6835932695344,-19.0468852,2517
1,0,517,FIF,2,394.15787,114.3479605,-19.1455253,385.29312999999996,110.890628,-104.92557099999999,Measured,86.5,"DESI-4889, DESI-3543",,116.74391510436502,393.45487776815185,-19.1455253,2517
1,0,517,FIF,3,393.5466395,112.4528434,-19.0014347,385.29312999999996,110.890628,-104.92557099999999,Measured,86.5,"DESI-4889, DESI-3543",,118.00835190826137,391.916608898352,-19.0014347,2517
1,0,517,FIF,4,394.6762903,112.8376939,-19.1341524,385.29312999999996,110.890628,-104.92557099999999,Measured,86.5,"DESI-4889, DESI-3543",,118.29486431108833,393.0751128820816,-19.1341524,2517
1,0,534,FIF,1,367.7594202,176.6615477,-18.9093787,359.814522,172.80643500000002,-104.755895,Measured,86.5,"DESI-4889, DESI-3543",,50.04569621798396,404.9095230686194,-18.9093787,2534
1,0,534,FIF,2,367.1637723,177.4649667,-18.8974943,359.814522,172.80643500000002,-104.755895,Measured,86.5,"DESI-4889, DESI-3543",,49.04781250698508,404.8423917818859,-18.8974943,2534
1,0,534,FIF,3,366.8272631,176.3171671,-18.8115394,359.814522,172.80643500000002,-104.755895,Measured,86.5,"DESI-4889, DESI-3543",,49.83183587005331,403.93907028341044,-18.8115394,2534
1,0,534,FIF,4,368.3530238,175.8623128,-18.934558,359.814522,172.80643500000002,-104.755895,Measured,86.5,"DESI-4889, DESI-3543",,51.03895459023144,404.97719481509665,-18.934558,2534
1,0,541,GIF,1,295.5447284,207.7580909,-11.9959559,,,,Measured,,DESI-4889,,-15.138907109738398,360.9444892375629,-11.9959559,2541
1,0,541,GIF,2,296.4574684,207.351556,-12.052452,,,,Measured,,DESI-4889,,-14.303664260418515,361.49288172035057,-12.052452,2541
1,0,541,GIF,3,295.6784324,208.7480702,-12.0855916,,,,Measured,,DESI-4889,,-15.899705386745012,361.5918853726674,-12.0855916,2541
1,0,541,GIF,4,295.4137606,206.7695201,-11.9332131,,,,Measured,,DESI-4889,,-14.377815669444544,360.30015655116483,-11.9332131,2541
1,0,542,GIF,1,357.1047869,202.6845276,-19.2760566,,,,Measured,,DESI-4889,,22.39139075372543,410.0042343384317,-19.2760566,2542
1,0,542,GIF,2,356.5260978,203.4995091,-19.2906599,,,,Measured,,DESI-4889,,21.392940413209402,409.95762063524694,-19.2906599,2542
1,0,542,GIF,3,356.1621668,202.3588209,-19.1958335,,,,Measured,,DESI-4889,,22.15616367774527,409.03506679353825,-19.1958335,2542
1,0,542,GIF,4,357.6873823,201.8713792,-19.2910076,,,,Measured,,DESI-4889,,23.390409176676542,410.0551255078812,-19.2910076,2542
1,0,0,POS,0,28.24322290578771,5.29366863037031,-0.06438321573804728,27.778534999999998,5.170967,-86.563048,Calculated,86.5,DESI-3543,,10.80540990550059,26.626033960173043,-0.06438321573804728,2000
1,0,1,POS,0,38.6317722277435,5.275498106125489,-0.10928109138166064,38.060361,5.150218,-86.607303,Calculated,86.5,DESI-3543,,16.433657027708968,35.357879212696275,-0.10928109138166064,2001
1,0,2,POS,0,33.44295032894144,14.325543915897901,-0.08659100013041154,32.936588,14.085567000000001,-86.584776,Calculated,86.5,DESI-3543,,6.014773630941345,35.88139675875086,-0.08659100013041154,2002
1,0,3,POS,0,49.03178102101256,5.2625473821457796,-0.20497937345776052,48.338205,5.15195,-86.702128,Calculated,86.5,DESI-3543,,22.063703418222353,44.10218754795028,-0.20497937345776052,2003
1,0,4,POS,0,43.838522985257036,14.30134303108805,-0.17129535232325566,43.205284999999996,14.080682999999999,-86.668696,Calculated,86.5,DESI-3543,,11.651889850342613,44.61589372563597,-0.17129535232325566,2004
1,0,5,POS,0,59.435173837311474,5.244433571345752,-0.32626950007554,58.60550799999999,5.14126,-86.82222900000001,Calculated,86.5,DESI-3543,,27.69992279193322,52.84655381268141,-0.32626950007554,2005
1,0,6,POS,0,54.229987858129114,14.291775245521313,-0.2773322083409937,53.479661,14.085120000000002,-86.773831,Calculated,86.5,DESI-3543,,17.274473296446445,53.35484040920454,-0.2773322083409937,2006
1,0,7,POS,0,49.02997954473422,23.396778931804967,-0.25914971213727256,48.346247,23.051432000000002,-86.755758,Calculated,86.5,DESI-3543,,6.803300395609053,53.89863877935986,-0.25914971213727256,2007
1,0,8,POS,0,69.83201049676836,5.247571568606504,-0.4754187520715476,68.878762,5.1390400000000005,-86.970098,Calculated,86.5,DESI-3543,,33.31471707912686,61.59688566255723,-0.4754187520715476,2008
1,0,9,POS,0,64.63331952118098,14.283478304747238,-0.41489177173644975,63.749178,14.070535999999999,-86.910111,Calculated,86.5,DESI-3543,,22.902399017628454,62.10445929276408,-0.41489177173644975,2009
1,0,10,POS,0,59.429609256007765,23.376191747533685,-0.38432330886239185,58.61390600000001,23.048392,-86.879856,Calculated,86.5,DESI-3543,,12.439567827008148,62.63850213100957,-0.38432330886239185,2010
1,0,12,POS,0,80.24036932986907,5.247777081113747,-0.6411755024950736,79.146594,5.142607,-87.134196,Calculated,86.5,DESI-3543,,38.93820442414232,70.355328658962,-0.6411755024950736,2012
1,0,13,POS,0,75.03821139458327,14.265226913152619,-0.5742773087545601,74.018596,14.062422,-87.06803000000001,Calculated,86.5,DESI-3543,,28.539544105595617,70.85001263533171,-0.5742773087545601,2013
1,0,14,POS,0,69.83289653537109,23.333940727215577,-0.5283266635405397,68.881268,23.000726999999998,-87.02245,Calculated,86.5,DESI-3543,,18.09604094033305,71.36973819951173,-0.5283266635405397,2014
1,0,15,POS,0,64.63205584701636,32.394419054074,-0.5080252935098741,63.75034599999999,31.937196999999998,-87.002323,Calculated,86.5,DESI-3543,,7.6618851034299915,71.8887789959228,-0.5080252935098741,2015
1,0,16,POS,0,90.65917444100951,5.2315686646815465,-0.8256580088985146,89.415522,5.137413,-87.316666,Calculated,86.5,DESI-3543,,44.58114776221964,79.11369341158209,-0.8256580088985146,2016
1,0,17,POS,0,85.44292755358269,14.245815071218196,-0.7497771601229033,84.289085,14.046724,-87.24185200000001,Calculated,86.5,DESI-3543,,34.177570739955996,79.59479112533327,-0.7497771601229033,2017
1,0,18,POS,0,80.24198318976806,23.324108123916137,-0.6951332349117223,79.148392,22.992939,-87.187586,Calculated,86.5,DESI-3543,,23.728368312066625,80.1233700193025,-0.6951332349117223,2018
