,exp_id,date,n_iterations,ra,dec,mountha,mountaz,zd,airmass,guide_rms,guide_rms_ra,guide_rms_dec,centroids_rms_ra,centroids_rms_dec,centroids_std_ra,centroids_std_dec,field_rotation_rate,field_rotation_init,field_rotation_rate_slope_std,field_rotation_rate_linregress_std,psf_fwhm,psf_fwhm_std,psf_fit,effective_seeing
170,53090,2020-03-05 08:44:58.485744,65,195.0025,28.999351,-14.569927,99.499727,12.890071,1.025803,171.9870322348366,125.70149324202498,117.38259604247926,66.50560171184179,59.498539629584606,19.336356741594418,16.954030023504703,0.1398449687266192,-2.696547549244274,0.2579378981769998,0.8215716965359829,1.3786663365346685,0.12566405786936996,0.33969240163488695,1.4369219377288478
171,53089,2020-03-05 08:31:10.922606,66,195.003158,28.99926,-18.03212,96.107107,15.800334,1.039191,176.41564909667997,138.04012023436155,109.85174760506054,62.94165244300838,76.58444608322107,22.988863786484615,25.8602313775172,-0.0010335604606649734,-1.8348260634057958,0.3536799960232686,1.1273813723471797,1.3980769720329225,0.14541750224469427,0.29619287072583933,1.4584919931734235
172,53088,2020-03-05 08:17:21.301977,66,195.003842,28.99915,-21.492249,93.485372,18.725562,1.055781,171.85629849350025,127.96021596344495,114.72040124788438,66.35627541365444,62.79140579535125,19.454517060390693,15.733056407701389,0.08500294698236356,-2.939981923889024,0.19744309552088346,0.6282361871890701,1.2751787703087842,0.16703306409427918,0.21971830741984344,1.3378547819129447
173,53087,2020-03-05 08:03:38.739639,66,195.004579,28.99901,-24.927364,91.333518,21.637219,1.07565,148.61176780451063,113.15752965270373,96.33706977523899,56.292744280893814,55.29076738144242,11.807220692183705,13.72502976417932,0.13595953277473777,-2.5663540260114726,0.19603436672126245,0.6233247166430773,0.9568080668541704,0.09917931148886082,0.10003860602866055,1.0187980433135935
174,53086,2020-03-05 07:49:51.821824,66,195.005359,28.99885,-28.389679,89.453361,24.574448,1.09939,164.73714089381423,119.52194277821171,113.37032585465336,65.20270302166118,53.73779412575562,14.952118490400464,13.45130351115043,0.042588672759554365,-2.797937434315933,0.19275266895379062,0.6144144391845063,0.9679247408456209,0.09651383573652156,0.09398660793672123,1.0427680130918184
175,53085,2020-03-05 07:35:23.657715,65,195.006242,28.99864,-32.012953,87.691564,27.647345,1.128613,129.98401504638545,98.38143522731475,84.95255952702449,84.32098346522334,62.694884994780836,17.228543629887703,12.892121516209665,-0.004362846423568884,-2.2233226518887927,0.13955955777489953,0.4441096899269723,0.90657269823689,0.09768944223555026,0.09276926033063086,0.9568513508318586
176,53084,2020-03-05 07:21:34.689395,66,195.007142,28.99842,-35.485833,86.137884,30.589362,1.161289,151.7818267470786,104.51494638952882,110.06520300201194,75.29754447887419,66.23190524486914,15.914196207224487,14.99108570883004,0.004231678268921304,-3.116819524668265,0.1843081933348505,0.5880343133146096,1.0109080900694523,0.10329078766269867,0.11144284518218077,1.0722329146456075
177,53083,2020-03-05 07:07:46.492196,66,195.008121,28.99814,-38.950436,84.679717,33.519222,1.198988,147.53430940517458,106.65138286550432,101.94044822609618,68.81202495076832,53.35266674709729,18.162496741432218,13.152428392266573,-0.05465877223096499,-2.0450374270015432,0.21294853892136834,0.6803680030538436,1.0277005179236138,0.12088369377620338,0.11619218033969747,1.0848348941158548
178,53082,2020-03-05 06:53:44.794156,66,195.009171,28.99783,-42.461069,83.268003,36.481122,1.243074,133.7169339901474,112.00076317358571,73.04825449153323,92.10214153312086,57.53112537806587,26.3167942754543,13.665968520781567,-0.09831937955485598,-2.1189759921388047,0.17368304884862168,0.5533903826856004,0.9253167004135194,0.08203754352975375,0.09023663641192588,0.977425176800908
179,53081,2020-03-05 06:39:57.060933,66,195.010309,28.997469,-45.921653,81.921728,39.392562,1.293166,135.41276421294236,107.2334994293997,82.68974127372063,109.10104021567572,67.02251843574659,29.292791413253394,20.437632986334464,-0.11532654926948302,-2.50607725408042,0.22479252299738883,0.7167332649421594,1.0433894073940482,0.07698569798116515,0.12653786893519098,1.0910276096284484
