# Focal surface lookup table,,,
# Extracted from DESI-0530-v17,,,
# 2020-04-09,,,
# Corresponds to https://desi.lbl.gov/trac/browser/code/focalplane/plate_control/trunk/petal/focal_surface_lookup.csv?rev=131350 ,,,
# Columns:  R, Z5,  S,   N
# Units:   mm, mm, mm, deg
R,Z,S,N
480,-26.4176896,481.0050665,8.817815309
481,-26.52522437,482.011345,8.864203726
482,-26.63238838,483.0176031,8.910608555
483,-26.73915629,484.0238385,8.957019524
484,-26.84550212,485.0300488,9.00342602
485,-26.95139919,486.0362316,9.04981708
486,-27.05682014,487.0423844,9.096181387
487,-27.16173693,488.0485047,9.142507258
488,-27.26612078,489.0545898,9.18878264
489,-27.36994222,490.060637,9.234995102
490,-27.473171,491.0666436,9.281131821
491,-27.57577615,492.0726066,9.327179584
492,-27.67772592,493.0785232,9.373124769
493,-27.7789878,494.0843902,9.418953345
494,-27.87952848,495.0902046,9.464650859
495,-27.97931383,496.0959632,9.510202428
496,-28.07830892,497.1016626,9.555592731
497,-28.17647798,498.1072996,9.600806
498,-28.27378438,499.1128706,9.645826011
499,-28.37019066,500.1183722,9.690636073
500,-28.46565844,501.1238005,9.73521902
