PETAL_ID,PETAL_LOC,DEVICE_LOC,DEVICE_TYPE,PINHOLE_ID,X_PTL,Y_PTL,Z_PTL,X_MNT,Y_MNT,Z_MNT,PTL_SOURCE,PROJ_DISTANCE,PROVENANCE,NOTES,X_FP,Y_FP,Z_FP,LOCATION,DEVICE_ID,BUS_ID,CAN_ID
11,6,,GFA,1,349.19317583934026,209.98731695295334,-20.961439814454877,,,,Calculated,,DESI-4886,GFA 13,-307.7478573050335,267.13360778276075,-20.961439814454877,,unknown,-1,-1
11,6,,GFA,2,331.106958911573,234.81386462991588,-20.76069084462464,,,,Calculated,,DESI-4886,GFA 13,-325.7592165052531,242.251219024869,-20.76069084462464,,unknown,-1,-1
11,6,,GFA,3,318.6622765320164,225.7362318511974,-19.320793737138537,,,,Calculated,,DESI-4886,GFA 13,-313.27475543354564,233.22671710802024,-19.320793737138537,,unknown,-1,-1
11,6,,GFA,4,336.7484934597837,200.9096841742348,-19.521542706968766,,,,Calculated,,DESI-4886,GFA 13,-295.26339623332603,258.1091058659121,-19.521542706968766,,unknown,-1,-1
4,0,,GFA,1,349.0005526206222,209.94694914096038,-20.94767305739919,,,,Calculated,,DESI-5817,GFA 10,91.81186476180403,-396.8002888240255,-20.94767305739919,,unknown,-1,-1
4,0,,GFA,2,330.88227525966806,234.74060241121185,-20.773850364821666,,,,Calculated,,DESI-5817,GFA 10,120.99681056211084,-387.24169501458147,-20.773850364821666,,unknown,-1,-1
4,0,,GFA,3,318.45583097851886,225.65131643245903,-19.34342007264532,,,,Calculated,,DESI-5817,GFA 10,116.19764117915967,-372.6124394318487,-19.34342007264532,,unknown,-1,-1
4,0,,GFA,4,336.574108339473,200.85766316220756,-19.517242765222843,,,,Calculated,,DESI-5817,GFA 10,87.01269537885288,-382.1710332412928,-19.517242765222843,,unknown,-1,-1
6,2,,GFA,1,348.82424722634835,209.81032071207207,-20.94641637022845,,,,Calculated,,DESI-5817,GFA 06,405.5643467638197,-35.266039374537336,-20.94641637022845,,unknown,-1,-1
6,2,,GFA,2,330.8480894649729,234.7051165208687,-20.67044352021942,,,,Calculated,,DESI-5817,GFA 06,405.65275700365805,-4.558826648920641,-20.67044352021942,,unknown,-1,-1
6,2,,GFA,3,318.3718255989586,225.68456715295164,-19.212473467691996,,,,Calculated,,DESI-5817,GFA 06,390.25592007120844,-4.523800964449495,-19.212473467691996,,unknown,-1,-1
6,2,,GFA,4,336.34798336033407,200.78977134415504,-19.488446317701023,,,,Calculated,,DESI-5817,GFA 06,390.1675098313701,-35.231013690066185,-19.488446317701023,,unknown,-1,-1
3,3,,GFA,1,348.76444805487927,210.07005017983633,-20.952542536599914,,,,Calculated,,DESI-5784,GFA 02,348.7430457026097,210.13369820276623,-20.952542536599914,,unknown,-1,-1
3,3,,GFA,2,330.6341880103817,234.8539908374583,-20.767164722593968,,,,Calculated,,DESI-5784,GFA 02,330.6053967864169,234.9140255393952,-20.767164722593968,,unknown,-1,-1
3,3,,GFA,3,318.2116618820145,225.75782984628623,-19.332358573025797,,,,Calculated,,DESI-5784,GFA 02,318.18412096694686,225.8147303135465,-19.332358573025797,,unknown,-1,-1
3,3,,GFA,4,336.34192192651204,200.9738891886643,-19.51773638703174,,,,Calculated,,DESI-5784,GFA 02,336.3217698831398,201.0344029769175,-19.51773638703174,,unknown,-1,-1
10,5,,GFA,1,348.8956190004513,209.80836600537253,-20.9610865273978,,,,Calculated,,DESI-5817,GFA 08,-91.81389128987875,396.671401697555,-20.9610865273978,,unknown,-1,-1
10,5,,GFA,2,330.81148014937173,234.6274397760169,-20.785439999971214,,,,Calculated,,DESI-5817,GFA 08,-121.00796823358226,387.1394029769974,-20.785439999971214,,unknown,-1,-1
10,5,,GFA,3,318.3726969136366,225.55445802854936,-19.355121697360065,,,,Calculated,,DESI-5817,GFA 08,-116.22123703178944,372.5057081322045,-19.355121697360065,,unknown,-1,-1
10,5,,GFA,4,336.4568357647162,200.735384257905,-19.53076822478665,,,,Calculated,,DESI-5817,GFA 08,-87.02716008808595,382.0377068527621,-19.53076822478665,,unknown,-1,-1
2,7,,GFA,1,349.04407428852346,209.67266701045628,-20.952542536599914,,,,Calculated,,DESI-5784,GFA 01,-405.5885101403592,35.461797413749224,-20.952542536599914,,unknown,-1,-1
2,7,,GFA,2,331.0072885205292,234.52761740955359,-20.767164722593968,,,,Calculated,,DESI-5784,GFA 01,-405.60929715565976,4.7511895508213255,-20.767164722593968,,unknown,-1,-1
2,7,,GFA,3,318.55006408375885,225.47668385675718,-19.332358573025797,,,,Calculated,,DESI-5784,GFA 01,-390.2100055348931,4.749504521137313,-19.332358573025797,,unknown,-1,-1
2,7,,GFA,4,336.58684985175313,200.62173345765987,-19.51773638703174,,,,Calculated,,DESI-5784,GFA 01,-390.1892185195925,35.4601123840652,-19.51773638703174,,unknown,-1,-1
7,8,,GFA,1,349.14496709192554,209.73660935956715,-20.953839768943634,,,,Calculated,,DESI-5817,GFA 04,-349.20907535743174,-209.77745992709907,-20.953839768943634,,unknown,-1,-1
7,8,,GFA,2,331.21841788065046,234.66808294830992,-20.81784260565391,,,,Calculated,,DESI-5817,GFA 04,-331.28072163300067,-234.7094021957035,-20.81784260565391,,unknown,-1,-1
7,8,,GFA,3,318.71958944197587,225.6734337862444,-19.38242147560918,,,,Calculated,,DESI-5817,GFA 04,-318.78109057907017,-225.7144130660676,-19.38242147560918,,unknown,-1,-1
7,8,,GFA,4,336.646138653251,200.74196019750167,-19.518418638898904,,,,Calculated,,DESI-5817,GFA 04,-336.7094443035013,-200.78247079746325,-19.518418638898904,,unknown,-1,-1
