col0,Petal ID,Petal Loc ID,Device Loc ID,Device Type,DOTID,XPL,YPL,ZPL,X MNT,Y MNT,Z MNT,FCL Source,Proj Distance,Provenance,Notes,XFP,YFP,ZFP,LOCATION,XPIX,YPIX
3897,9,9,541,GIF,4,295.5376212,207.5616256,-14.797801,,,,Measured,,DESI-4890,,-117.17093497620307,-341.6274774085625,-14.797801,9541,3712.597,866.851
3894,9,9,541,GIF,1,294.6414883,208.0047568,-14.7633569,,,,Measured,,DESI-4890,,-116.1854607645949,-341.4593702607934,-14.7633569,9541,3706.442,867.739
3895,9,9,541,GIF,2,295.3690984,206.5818936,-14.7392388,,,,Measured,,DESI-4890,,-117.6103552814308,-340.73574621515417,-14.7392388,9541,3715.533,872.219
1683,5,1,517,FIF,2,393.7164828,112.5582361,-18.939505,385.294627,110.894374,-104.92511999999999,Measured,86.5,"DESI-4881, DESI-3543",,228.7755956452532,-339.64689851270316,-18.939505,1517,1528.293,910.992
1685,5,1,517,FIF,4,393.9019411,113.5385363,-18.9696656,385.294627,110.894374,-104.92511999999999,Measured,86.5,"DESI-4881, DESI-3543",,229.7652093554267,-339.52021793883506,-18.9696656,1517,1522.231,912.017
1684,5,1,517,FIF,3,394.0874988,114.5173826,-19.0734882,385.294627,110.894374,-104.92511999999999,Measured,86.5,"DESI-4881, DESI-3543",,230.75347111363106,-339.3940813607786,-19.0734882,1517,1516.146,913.016
1682,5,1,517,FIF,1,393.0171501,113.9958065,-18.9128492,385.294627,110.894374,-104.92511999999999,Measured,86.5,"DESI-4881, DESI-3543",,229.92655213926514,-338.5374058227151,-18.9128492,1517,1521.048,917.847
3888,9,9,517,FIF,3,394.2242248,114.3614619,-19.0893139,385.301352,110.903522,-104.92762900000001,Measured,86.5,"DESI-4890, DESI-3543",,-251.78953312837422,-324.21629492848416,-19.0893139,9517,4553.358,992.01
3886,9,9,517,FIF,1,393.0556892,114.1311848,-18.9390195,385.301352,110.903522,-104.92762900000001,Measured,86.5,"DESI-4890, DESI-3543",,-250.9794099234229,-323.3432523269743,-18.9390195,9517,4548.686,997.051
3889,9,9,517,FIF,4,393.7971837,113.4611662,-18.9739447,385.301352,110.903522,-104.92762900000001,Measured,86.5,"DESI-4890, DESI-3543",,-251.9731050507129,-323.23690848899435,-18.9739447,9517,4554.704,997.893
3887,9,9,517,FIF,2,393.370364,112.5593072,-18.9136792,385.301352,110.903522,-104.92762900000001,Measured,86.5,"DESI-4890, DESI-3543",,-252.15777482915578,-322.25638730864233,-18.9136792,9517,4556.097,1003.767
1117,4,0,321,FIF,2,305.0350419,86.2320071,-11.2400532,298.922294,84.881414,-97.375489,Measured,86.5,"DESI-4900, DESI-3543",,-12.263949710209566,-316.7078896332958,-11.2400532,321,3047.816,1013.668
1119,4,0,321,FIF,4,304.059021,86.4365095,-11.1453163,298.922294,84.881414,-97.375489,Measured,86.5,"DESI-4900, DESI-3543",,-11.767489007478751,-315.84304005129525,-11.1453163,321,3044.667,1018.942
1116,4,0,321,FIF,1,303.5893937,85.5542678,-11.1190721,298.922294,84.881414,-97.375489,Measured,86.5,"DESI-4900, DESI-3543",,-12.461128218587213,-315.12348125388047,-11.1190721,321,3049.141,1023.264
1118,4,0,321,FIF,3,303.0812599,86.6396738,-11.1111947,298.922294,84.881414,-97.375489,Measured,86.5,"DESI-4900, DESI-3543",,-11.271762300339923,-314.97612163916125,-11.1111947,321,3041.566,1024.142
1692,5,1,534,FIF,3,373.5334997,168.4644814,-19.0411937,359.811679,172.810169,-104.756856,Measured,86.5,"DESI-4881, DESI-3543",,275.7038270826308,-303.1694785858693,-19.0411937,1534,1234.513,1142.333
1693,5,1,534,FIF,4,373.01094,167.6170786,-18.8626882,359.811679,172.810169,-104.756856,Measured,86.5,"DESI-4881, DESI-3543",,274.7363878336204,-302.9344861498502,-18.8626882,1534,1240.3,1143.477
1691,5,1,534,FIF,2,372.4853204,166.7697418,-18.798591,359.811679,172.810169,-104.756856,Measured,86.5,"DESI-4881, DESI-3543",,273.76806540094697,-302.69656329907775,-18.798591,1534,1246.132,1144.641
1690,5,1,534,FIF,1,372.3459608,168.3628659,-18.86875,359.811679,172.810169,-104.756856,Measured,86.5,"DESI-4881, DESI-3543",,275.24006831432496,-302.0715249649577,-18.86875,1534,1237.076,1148.809
1686,5,1,533,FIF,1,368.8394396,176.7143897,-18.955789,364.900286,163.963722,-104.843363,Measured,86.5,"DESI-4881, DESI-3543",,282.0984728332452,-296.1549441818642,-18.955789,1533,1194.258,1186.461
