  672  ,   rays      DESI-ADC-2.RAY    672 rays = 8 wavels, 84 pupil locations
 X0        , Y0        , Z0    ,U0east ,V0south ,@wave , Xgoal  ,  Ygoal ,XfEast ,YfSouth ,notes ,
 -0.000    , -755.200  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak22,
 377.600   , -654.022  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.002,  0.0098, OK26 ,
 654.022   , -377.600  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.003,  0.0057, OK26 ,
 1115.590  , 196.709   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak 8,
 981.034   , 566.400   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.004, -0.0066, OK26 ,
 728.150   , 867.775   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.001, -0.0101, OK26 ,
 387.440   , 1064.484  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak22,
 0.000     , 1132.800  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak22,
 -387.440  , 1064.484  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.012, -0.0120, OK26 ,
 -728.150  , 867.775   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.015, -0.0097, OK26 ,
 -981.034  , 566.400   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.018, -0.0063, OK26 ,
 -1115.590 , 196.709   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak 8,
 -1115.590 , -196.709  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.020,  0.0022, OK26 ,
 -981.034  , -566.400  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.018,  0.0063, OK26 ,
 -728.150  , -867.775  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.015,  0.0097, OK26 ,
 -387.440  , -1064.484 , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.012,  0.0120, OK26 ,
 -0.000    , -1132.800 , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak22,
 387.440   , -1064.484 , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak22,
 728.150   , -867.775  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.001,  0.0101, OK26 ,
 981.034   , -566.400  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.004,  0.0066, OK26 ,
 1115.590  , -196.709  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.006,  0.0023, OK26 ,
 1510.400  , 0.000     , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.014,  0.0000, OK26 ,
 1458.934  , 390.920   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak 8,
 1308.045  , 755.200   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.011, -0.0106, OK26 ,
 1068.014  , 1068.014  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.008, -0.0149, OK26 ,
 755.200   , 1308.045  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.003, -0.0181, OK26 ,
 390.920   , 1458.934  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak 8,
 0.000     , 1510.400  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak22,
 -390.920  , 1458.934  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.012, -0.0196, OK26 ,
 -755.200  , 1308.045  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.017, -0.0174, OK26 ,
 -1068.014 , 1068.014  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.021, -0.0141, OK26 ,
